xxxxxxxgcx
ckxxxxxgxx
xxgxbmxcxx
xxxxxxxkxc
xxkxxxxkcx
xxHxxxgxxx
xxcxxxcxxx
xxxmxxxxxx
xxxxmxxgkx
cxcxmwxcxx

xxxxxxxxxg
xxxxxxxbxc
xxxxxxxxcx
xxxxxgxxxx
xxxccxxckc
cgxxxxxccc
xxxxcxcxcg
xxcxxxxxxx
xxccxxxcxg
ccxkxxxwgk

xxcxxxkxxc
xxxxgxxcxk
xcxxmxccxx
xxxxxckxxx
xgxxxcxxck
xxxxxccxxx
cxxxxxxxxx
xxxxxxxxxx
xxxxxmxwxx
xxcbxxxxxx

xxxxxxbxxx
xgxxxxxxxx
xxxgxxxgmx
xcgxxxxxxx
cxccxxxxcx
cxxcxxxxxx
gkxxmxwxxx
xxxxxxgcxk
xccxxcxkxc
xxxkgxxcxx

xkcmxcwxcx
xxxxkxxxxx
xxkxxxxxcc
xxxgxckcbx
xxxxxxxxcx
xxxxckxxxx
xxxxxxxxxx
cxxxckxxxx
xxxxxxxcxx
xxxgxxxxxx

bxxxxccxxk
xcmxxxxxxx
xxxxxxmkcx
xcxgxkgcxx
cxxxxxxxxc
xxcxxxxxcx
kxxxxxgxxc
xmxxwxxgxx
xxxmxcxxxx
xgxxxxmxkx

xgxccxxxxx
xxxxxmxxxc
xxxxxxxxbx
xxxxxxxxxx
gxkxggkcgc
xxxxxxxxxx
xxxkgxxxkx
kxxxxxxxgx
xmxcxxkxxx
xxxxcxxxxx

LVL: 0 | (6,2) | PL: 0 | Mario collected a coin | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (7,2) | PL: 0 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (7,3) | PL: 0 | Mario ate a mushroom | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (6,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (7,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (8,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (8,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (8,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (9,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (9,2) | PL: 1 | Mario collected a coin | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (8,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (9,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (0,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (0,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (0,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,1) | PL: 1 | Mario fought a koopa and won | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (0,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (0,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,2) | PL: 1 | Mario fought a goomba and won | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (1,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (3,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (3,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (2,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (3,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (4,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (4,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (3,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (4,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (5,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (5,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (5,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (6,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (6,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (5,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (6,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (7,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (7,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (7,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (8,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (8,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (8,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (9,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (8,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (8,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (9,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (9,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 2 | Direction: 
LVL: 0 | (9,0) | PL: 1 | Mario collected a coin | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,0) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
